airport,name,freq,category,subcategory,mode,region,tags,memo,lat,lon
RJFK,鹿児島TWR01,118.2,AIR,TWR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島TWR02,126.2,AIR,TWR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島TWR03,261.2,AIR,TWR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島APP01,126,AIR,APP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島APP02,119.4,AIR,APP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島APP03,121.4,AIR,APP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島APP04,120.9,AIR,APP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島APP05,362.3,AIR,APP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島APP06,261.2,AIR,APP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島DEP01,119.4,AIR,DEP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島DEP02,120.1,AIR,DEP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島DEP03,121.4,AIR,DEP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島DEP04,362.3,AIR,DEP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島DEP05,261.2,AIR,DEP,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島GND,121.7,AIR,GND,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島CLR,121.8,AIR,CLR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島ATIS,127.05,AIR,ATIS,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島TCA01,120,AIR,TCA,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島TCA02,225.2,AIR,TCA,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島TCA03,121.25,AIR,TCA,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島TCA04,256.1,AIR,TCA,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島RDR01,120.8,AIR,RDR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島RDR02,121.4,AIR,RDR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島RDR03,120.9,AIR,RDR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島RDR04,362.3,AIR,RDR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島RDR05,261.2,AIR,RDR,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,ANA/IBEX/APJ/ORC/JJP,130.45,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,JAL/JAR/JAC/JTA/NTH/FDA,130.1,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,SKY,123.675,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,WAJ,131,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,SNJ,130.6,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,新日本航空,130.15,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島国際航空,123.5,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,Japan General Aviation Service,129.55,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,ANH,122.425,AIR,Company,AM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,ANA/SNJ,149.53,AIR,地上,FM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,JAL,150.65,AIR,,FM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,大韓航空,3B,AIR,,,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,中国東方航空,3B,AIR,,,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島空港ビルディング,372.65,AIR,,FM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,航空保安協会,3B,AIR,,,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,鹿児島空港給油施設,3R,AIR,,,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
RJFK,航空局/気象庁,153.45,AIR,,FM,鹿児島,鹿児島 KOJ RJFK,,31.8,130.72
