name,company,line,category,type,frequency,area,tags
熊本総合車両センター,JR九州,,RAIL,業務,150.97,熊本,"JR九州,熊本,車両基地"
大村車両基地/西乳新幹線入換・進路構成,JR九州,,RAIL,業務,150.97,長崎,"JR九州,長崎,車両基地"
博多総合車両センター,JR九州,,RAIL,業務,150.97,博多,"JR九州,福岡,車両基地"
連絡波,JR九州,,RAIL,業務,150.61,九州,JR九州
長崎本線,JR九州,,RAIL,指令,152.49,長崎・佐賀,JR九州
博多駅/駅員連絡用,JR九州,,RAIL,業務,153.47,福岡,JR九州
ななつ星クルー連絡用,JR九州,,RAIL,業務,158.07,九州,JR九州
大分車両センター,JR九州,,RAIL,業務,365.175,大分,"JR九州,車両センター"
南福岡車両区竹下車両派出/構内入換波,JR九州,,RAIL,業務,365.225,福岡,JR九州
南延岡駅/構内入換,JR九州,,RAIL,業務,365.2375,宮崎,JR九州
南宮崎駅/構内入換,JR九州,,RAIL,業務,131.8,宮崎,JR九州
唐津車両センター,JR九州,,RAIL,業務,88.5,福岡,"JR九州,車両センター"
防護無線,JR九州,,RAIL,防護無線,373.275,九州,JR九州
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
