name,freq,band,area,type,callsign,network,tags
南日本放送,1107,AM,鹿児島・阿久根・川内・大口,AM,JOCF,JRN・NRN,"鹿児島,かごしま阿久根,川内,大口"
南日本放送,1449,AM,名瀬,AM,JOCF,JRN・NRN,"名瀬,鹿児島,かごしま"
南日本放送,92.8,FM,鹿児島市・錦江湾沿岸,WIDEFM,JOCF,JRN・NRN,"鹿児島市,錦江湾沿岸,鹿児島,かごしま"
南日本放送,86.7,FM,姶良・霧島,WIDEFM,JOCF,JRN・NRN,"姶良,鹿児島,かごしま霧島"
南日本放送,93.7,FM,北薩,WIDEFM,JOCF,JRN・NRN,"北薩,鹿児島,かごしま"
南日本放送,94.2,FM,大隅,WIDEFM,JOCF,JRN・NRN,"大隅,鹿児島,かごしま"
南日本放送,94.8,FM,南薩,WIDEFM,JOCF,JRN・NRN,"南薩,鹿児島,かごしま"
南日本放送,92.3,FM,種子島,WIDEFM,JOCF,JRN・NRN,"種子島,鹿児島,かごしま"
NHK鹿児島第1放送,576,AM,鹿児島,AM,JOHG,NHK第1放送,",鹿児島,かごしま"
NHK鹿児島第1放送,792,AM,名瀬,AM,JOHG,NHK第2放送,"名瀬,鹿児島,かごしま"
NHK鹿児島第1放送,1026,AM,阿久根・瀬戸内,AM,JOHG,NHK第3放送,"阿久根,瀬戸内,鹿児島,かごしま"
NHK鹿児島第1放送,1341,AM,徳之島,AM,JOHG,NHK第4放送,"徳之島,鹿児島,かごしま"
NHK鹿児島第1放送,1503,AM,大口,AM,JOHG,NHK第5放送,"大口,鹿児島,かごしま"
NHK鹿児島第2放送,1386,AM,鹿児島,AM,JOHC,NHK第2放送,"鹿児島,かごしま"
NHK鹿児島第2放送,1467,AM,阿久根・瀬戸内,AM,JOHC,NHK第3放送,"阿久根,瀬戸内,鹿児島,かごしま"
NHK鹿児島第2放送,1539,AM,徳之島,AM,JOHC,NHK第4放送,"徳之島,鹿児島,かごしま"
NHK鹿児島第2放送,1602,AM,名瀬,AM,JOHC,NHK第5放送,"名瀬,鹿児島,かごしま"
μ-FM(FM鹿児島),79.8,FM,鹿児島,FM,JOOV-FM,JFN,"鹿児島,かごしま"
μ-FM(FM鹿児島),76.6,FM,枕崎,FM,JOOV-FM,JFN,"枕崎,鹿児島,かごしま"
μ-FM(FM鹿児島),79.8,FM,鹿屋,FM,JOOV-FM,JFN,"鹿屋,鹿児島,かごしま"
μ-FM(FM鹿児島),80.5,FM,阿久根,FM,JOOV-FM,JFN,"阿久根,鹿児島,かごしま"
μ-FM(FM鹿児島),81.4,FM,姶良,FM,JOOV-FM,JFN,"姶良,霧島,鹿児島,かごしま"
NHK FM 鹿児島,85.6,FM,鹿児島,FM,JOHG-FM,NHK,"鹿児島,かごしま"
NHK FM 鹿児島,81.6,FM,徳之島,FM,JOHG-FM,NHK,"徳之島,鹿児島,かごしま"
NHK FM 鹿児島,82.2,FM,名瀬,FM,JOHG-FM,NHK,"名瀬,鹿児島,かごしま"
NHK FM 鹿児島,83.7,FM,阿久根,FM,JOHG-FM,NHK,"阿久根,鹿児島,かごしま"
NHK FM 鹿児島,84.0,FM,知名,FM,JOHG-FM,NHK,"知名,鹿児島,かごしま"
NHK FM 鹿児島,84.1,FM,鹿屋,FM,JOHG-FM,NHK,"鹿屋,鹿児島,かごしま"
NHK FM 鹿児島,84.3,FM,東市来,FM,JOHG-FM,NHK,"東市来,鹿児島,かごしま"
NHK FM 鹿児島,84.4,FM,種子島,FM,JOHG-FM,NHK,"種子島,鹿児島,かごしま"
NHK FM 鹿児島,84.5,FM,瀬戸内,FM,JOHG-FM,NHK,"瀬戸内,鹿児島,かごしま"
NHK FM 鹿児島,84.7,FM,枕崎,FM,JOHG-FM,NHK,"枕崎,鹿児島,かごしま"
NHK FM 鹿児島,84.9,FM,末吉,FM,JOHG-FM,NHK,"末吉,鹿児島,かごしま"
NHK FM 鹿児島,85.9,FM,栗野,FM,JOHG-FM,NHK,"栗野,鹿児島,かごしま"
FRIENDS FM 762(鹿児島シティエフエム）,76.2,FM,鹿児島市・錦江湾沿岸,Community,JOZZ0F-FM,,"鹿児島市,錦江湾沿岸,鹿児島,かごしま"
FMかのや(かのやコミュニティエフエム),77.2,FM,鹿屋市,Community,JOZZ0AY-FM,,"鹿屋,鹿児島,かごしま"
FMきもつき(きもつきコミュニティエフエム),80.2,FM,肝付町,Community,JOZZ0AZ-FM,,"肝付,鹿児島,かごしま"
FM志布志(しぶしコミュニティエフエム),78.1,FM,志布志市,Community,JOZZ0BA-FM,,"志布志,鹿児島,かごしま"
ディ！ウェイヴ(あまみエフエム),77.7,FM,奄美市,Community,JOZZ0BD-FM,,"奄美,鹿児島,かごしま"
FMたるみず(たるみずまちづくり放送),77.7,FM,垂水市,Community,JOZZ0BJ-FM,,"垂水,鹿児島,かごしま"
FMうけん,76.3,FM,宇検村,Community,JOZZ0BL0FM,,"宇検村,鹿児島,かごしま"
FMぎんが(エフエムさつま),78.6,FM,鹿児島市・錦江湾沿岸,Community,JOZZ0BQ-FM,,"鹿児島市,錦江湾沿岸,鹿児島,かごしま"
エフエムせとうち,76.8,FM,瀬戸内町,Community,JOZZ0BS-FM,,"瀬戸内,鹿児島,かごしま"
FMさつませんだい,87.1,FM,薩摩川内市,Community,JOZZOCB-FM,,"薩摩川内,鹿児島,かごしま"
プラス霧島(エフエムきりしま),76.9,FM,霧島市,Community,JOZZ0CD-FM,,"霧島,鹿児島,かごしま"
エフエムたつごう,78.9,FM,龍郷町,Community,JOZZ0CF-FM,,"龍郷,鹿児島,かごしま"
SOO Good FM(まちづくりそおエフエム),87.4,FM,曽於市,Community,JOZZOCI-FM,,"曽於,鹿児島,かごしま"
